defending_team,position,tries_scored_against,games,concede_rate
St George Illawarra Dragons,2RF,61,196,0.3112244897959184
St George Illawarra Dragons,CE,67,196,0.34183673469387754
St George Illawarra Dragons,FB,52,98,0.5306122448979592
St George Illawarra Dragons,FE,32,98,0.32653061224489793
St George Illawarra Dragons,HB,30,98,0.30612244897959184
St George Illawarra Dragons,HK,16,98,0.16326530612244897
St George Illawarra Dragons,IC,42,394,0.1065989847715736
St George Illawarra Dragons,LK,10,98,0.10204081632653061
St George Illawarra Dragons,PR,20,196,0.10204081632653061
St George Illawarra Dragons,WG,112,196,0.5714285714285714
Sydney Roosters,2RF,42,214,0.19626168224299065
Sydney Roosters,CE,45,214,0.2102803738317757
Sydney Roosters,FB,36,107,0.3364485981308411
Sydney Roosters,FE,35,107,0.32710280373831774
Sydney Roosters,HB,23,107,0.21495327102803738
Sydney Roosters,HK,17,107,0.1588785046728972
Sydney Roosters,IC,32,429,0.07459207459207459
Sydney Roosters,LK,14,107,0.1308411214953271
Sydney Roosters,PR,14,214,0.06542056074766354
Sydney Roosters,WG,117,214,0.5467289719626168
Wests Tigers,2RF,61,198,0.30808080808080807
Wests Tigers,CE,72,198,0.36363636363636365
Wests Tigers,FB,59,99,0.5959595959595959
Wests Tigers,FE,36,99,0.36363636363636365
Wests Tigers,HB,30,99,0.30303030303030304
Wests Tigers,HK,12,99,0.12121212121212122
Wests Tigers,IC,44,393,0.11195928753180662
Wests Tigers,LK,12,99,0.12121212121212122
Wests Tigers,PR,23,198,0.11616161616161616
Wests Tigers,WG,150,198,0.7575757575757576
