player_name,team,opponent,round,season,position,mins_played,tries,try_minutes,points,all_runs,all_run_metres,post_contact_metres,kick_return_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_speed,dummy_half_runs,dummy_half_run_metres,offloads,passes,receipts,passes_to_run_ratio,tackle_efficiency,tackles_made,missed_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,errors,handling_errors,penalties,ruck_infringements,inside_10_metres,sin_bins,send_offs,stint_one,stint_two
Keano Kini,Titans,Sea Eagles,20,2026,Fullback,80:00,0,,0,24,191,35,24,0,1,1,0,2,0,0,3.33s,1,14,3,24,46,1.0,66.67,2,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,80:00,-
Dean Ieremia,Titans,Sea Eagles,20,2026,Winger,70:00,1,8,4,15,126,33,29,1,0,0,0,0,0,0,3.3s,0,0,0,3,18,0.2,66.67,6,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,70:00,-
Jojo Fifita,Titans,Sea Eagles,20,2026,Centre,80:00,2,33;69,8,15,136,34,0,2,1,1,0,0,0,0,3.3s,0,0,3,8,22,0.53,77.78,14,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,80:00,-
AJ Brimson,Titans,Sea Eagles,20,2026,Centre,77:00,1,39,4,8,132,22,0,1,0,0,0,3,0,0,4s,0,0,0,5,15,0.63,84.21,16,2,0,0,1,1,0,0,1,2,2,0,1,0,0,0,77:00,-
Phillip Sami,Titans,Sea Eagles,20,2026,Winger,80:00,0,,0,21,201,90,4,0,0,0,0,2,0,0,3.47s,0,0,0,1,22,0.05,66.67,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,80:00,-
Jayden Campbell,Titans,Sea Eagles,20,2026,Five-Eighth,80:00,0,,10,10,85,28,0,0,1,1,0,6,0,0,3.48s,0,0,2,30,50,3.0,64.71,11,3,0,0,10,316,0,3,0,0,0,0,0,0,0,0,80:00,-
Zane Harrison,Titans,Sea Eagles,20,2026,Halfback,80:00,0,,0,12,57,9,0,0,1,1,0,1,0,0,3.85s,0,0,0,35,50,2.92,91.67,22,1,0,0,7,165,0,3,1,1,0,0,0,1,0,0,80:00,-
Moeaki Fotuaika,Titans,Sea Eagles,20,2026,Prop,53:00,0,,0,16,147,63,26,0,0,0,0,1,14,0,2.91s,0,0,0,4,20,0.25,100.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:04,25:20
Oliver Pascoe,Titans,Sea Eagles,20,2026,Hooker,80:00,2,16;27,8,7,66,19,0,1,0,0,0,4,1,0,4.39s,5,52,0,124,129,17.71,82.35,42,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,-
Tino Fa'asuamaleaui,Titans,Sea Eagles,20,2026,Prop,62:00,0,,0,20,187,79,12,1,0,1,0,5,18,0,3.55s,0,0,2,4,22,0.2,100.0,31,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,31:09,31:12
Arama Hau,Titans,Sea Eagles,20,2026,2nd Row,66:00,0,,0,7,41,12,0,0,0,0,0,2,7,0,3.81s,0,0,2,0,10,,87.1,27,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,66:30,-
Beau Fermor,Titans,Sea Eagles,20,2026,2nd Row,80:00,1,57,4,15,120,48,0,1,0,0,0,1,14,0,3.55s,0,0,0,1,16,0.07,81.82,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,-
Chris Randall,Titans,Sea Eagles,20,2026,Lock,48:00,0,,0,7,52,19,0,0,1,0,0,0,7,0,4.5s,0,0,0,11,19,1.57,92.59,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:06,19:50
Josh Patston,Titans,Sea Eagles,20,2026,Interchange,40:00,0,,0,5,52,23,0,0,0,1,0,1,5,0,3.31s,0,0,1,1,6,0.2,76.19,16,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26:34,13:30
Klese Haas,Titans,Sea Eagles,20,2026,Interchange,29:00,0,,0,7,54,25,0,0,0,0,0,0,7,0,2.42s,0,0,1,1,8,0.14,88.89,16,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,29:01,-
Cooper Bai,Titans,Sea Eagles,20,2026,Interchange,21:00,0,,0,4,41,16,0,0,0,0,0,0,3,0,2.24s,0,0,0,4,7,1.0,86.67,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:44,-
Sam Verrills,Titans,Sea Eagles,20,2026,Interchange,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Lachlan Ilias,Titans,Sea Eagles,20,2026,Reserve,03:00,0,,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03:05,-
Michael Molo,Titans,Sea Eagles,20,2026,Reserve,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Tom Trbojevic,Sea Eagles,Titans,20,2026,Fullback,21:00,1,1,4,6,38,2,7,0,1,1,0,0,0,0,3.32s,0,0,1,4,8,0.67,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:26,-
Jason Saab,Sea Eagles,Titans,20,2026,Winger,80:00,2,5;22,8,14,223,27,31,2,0,1,0,0,0,0,3.2s,0,0,0,4,21,0.29,100.0,4,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,80:00,-
